,Source,BiGG,MNXM,Stuff,Unnamed: 4
5703,bigg.metabolite:,36dahx,MNXM1865,"(3S)-3,6-Diaminohexanoate",
5708,bigg.metabolite:,anth,MNXM188,Anthranilate,
5710,bigg.metabolite:,2oph,MNXM1886,2-Octaprenylphenol,
5717,bigg.metabolite:,q8h2,MNXM191,Ubiquinol-8,
5726,bigg.metabolite:,4abut,MNXM192,4-Aminobutanoate,
5727,bigg.metabolite:,dimp,MNXM1922,DIMP,
5731,bigg.metabolite:,acanth,MNXM1939,N-Acetylanthranilate,
5734,bigg.metabolite:,sula,MNXM1949,Sulfoacetate,
5735,bigg.metabolite:,sulfac,MNXM1949,Sulfoacetate,
5739,bigg.metabolite:,23dhba,MNXM1978,"(2,3-Dihydroxybenzoyl)adenylate",
5741,bigg.metabolite:,dhgly,MNXM1984,Dehydroglycine,
5742,bigg.metabolite:,val__L,MNXM199,L-Valine,
5745,bigg.metabolite:,akg,MNXM20,2-Oxoglutarate,
