BiGG,MNXM
Met__L,MNXM738804
alltn,MNXM738834
4tmeabutn,MNXM738927
1agpg180,MNXM739301
arg__L,MNXM739527
kdo8p,MNXM739664
progly,MNXM739962
tcynt,MNXM740078
rfamp,MNXM740424
scl,MNXM740871
r15bp,MNXM740983
tungs,MNXM741004
3c2hmp,MNXM741109
glu__L,MNXM741173
orn,MNXM741175
orn__L,MNXM741175
seln,MNXM741486
trp__L,MNXM741553
Sfglutth,MNXM741595
23doguln,MNXM741619
phe__L,MNXM741664
cbm,MNXM742
dmso,MNXM745
acald,MNXM75
octa,MNXM750
phthr,MNXM759
tyr__L,MNXM76
csn,MNXM761
dhap,MNXM77
tartr__D,MNXM7948
ichor,MNXM799
nad,MNXM8
23dhdp,MNXM807
ragund,MNXM80754
octdp,MNXM811
acorn,MNXM817
suchms,MNXM820
ppal,MNXM821
dhpppn,MNXM826
4crsol,MNXM828
pcresol,MNXM828
ipdp,MNXM83
5d4dglcr,MNXM854
5dh4dglc,MNXM854
3hpp,MNXM872
enter,MNXM883
glyc,MNXM89612
icit,MNXM89661
pi,MNXM9
chol,MNXM90
ru5p__L,MNXM901
Mnl1p,MNXM90126
2dh3dgal6p,MNXM90136
12ppd__R,MNXM90191
2ombzl,MNXM90444
lald__D,MNXM909
cobalt2,MNXM90960
cysi__L,MNXM927
din,MNXM935
25dkglcn,MNXM936
Mdhdhf,MNXM9407
15dap,MNXM943
k,MNXM95
2dhp,MNXM959
4mpetz,MNXM960
4mhetz,MNXM962
5dglcn,MNXM963
aso4,MNXM970
ttrcyc,MNXM97613
h2o,WATER
