Source	BiGG	MNXM	Stuff	
bigg.metabolite:	15m3hdACP	MNXM1091625	15-methyl-3-hydroxy-hexa-decanoyl-ACP
bigg.metabolite:	15m3ohdACP	MNXM1091626	15-methyl-3-oxo-hexa-decanoyl-ACP
bigg.metabolite:	15methexeACP	MNXM1091627	15-methyl-trans-hexa-dec-2-enoyl-ACP
bigg.metabolite:	15mhdACP	MNXM1091628	15-methyl-hexa-decanoyl-ACP
bigg.metabolite:	16m3hdACP	MNXM1091629	16-methyl-3-hydroxy-hexa-decanoyl-ACP
bigg.metabolite:	16m3hpACP	MNXM1091630	16-methyl-3-hydroxy-pentadecanoyl-ACP
bigg.metabolite:	16m3ohdACP	MNXM1091631	16-methyl-3-oxo-hexa-decanoyl-ACP
bigg.metabolite:	16m3opACP	MNXM1091632	16-methyl-3-oxo-pentadecanoyl-ACP
bigg.metabolite:	16mhdACP	MNXM1091633	16-methyl-hexa-decanoyl-ACP
bigg.metabolite:	16mpACP	MNXM1091634	16-methyl-pentadecanoyl-ACP
bigg.metabolite:	16mthdeACP	MNXM1091635	16-methyl-trans-hexa-dec-2-enoyl-ACP
bigg.metabolite:	16mtp2eACP	MNXM1091636	16-methyl-trans-pentadec-2-enoyl-ACPNADoxidoreductaseA-specific
bigg.metabolite:	17m3hdACP	MNXM1091637	17-methyl-3-hydroxy-hexa-decanoyl-ACP
bigg.metabolite:	17m3ohdACP	MNXM1091638	17-methyl-3-oxo-hexa-decanoyl-ACP
bigg.metabolite:	17mhdACP	MNXM1091639	17-methyl-hexa-decanoyl-ACP
bigg.metabolite:	17mthdeACP	MNXM1091640	17-methyl-trans-hexa-dec-2-enoyl-ACP
bigg.metabolite:	1ag160	MNXM1091641	1Acylsnglycerolhexadecanoate
bigg.metabolite:	1ag180	MNXM1091642	1Acylsnglyceroloctadecanoate
bigg.metabolite:	1ag181d9	MNXM1091643	1AcylsnglycerolnC181d9
bigg.metabolite:	1ag182d9d12	MNXM1091644	1AcylsnglycerolnC182d9d12
bigg.metabolite:	1ag3p	MNXM1091645	1-Acyl-sn-glycerol3-phosphate
bigg.metabolite:	1ag3p_LM	MNXM1091646	1Acylsnglycerol3phosphateLmajor
bigg.metabolite:	1agly3p_LM	MNXM1091647	GlyceronephosphateLmajor
bigg.metabolite:	1agpc140	MNXM1091648	1-14:0-2-lysophosphatidylcholine
bigg.metabolite:	1agpc160	MNXM1091649	1-16:0-2-lysophosphatidylcholine
bigg.metabolite:	1agpc161	MNXM1091650	1-16:1(9Z)-2-lysophosphatidylcholine
bigg.metabolite:	1agpc180	MNXM1091651	1-18:0-2-lysophosphatidylcholine
bigg.metabolite:	1agpc181	MNXM1091652	1-18:1(9Z)-2-lysophosphatidylcholine
bigg.metabolite:	1agpc182	MNXM1091653	1-18:2(9Z,12Z)-2-lysophosphatidylcholine
bigg.metabolite:	1agpc205	MNXM1091654	1-20:5(5Z,8Z,11Z,14Z,17Z)-2-lysophosphatidylcholine
bigg.metabolite:	1agpc226	MNXM1091655	1-22:6(4Z,7Z,10Z,13Z,16Z,19Z)-2-lysophosphatidylcholine
bigg.metabolite:	1agpe182	MNXM1091656	1-18:2(9Z,12Z)-2-lysophosphatidylethanolamine
bigg.metabolite:	1agpe205	MNXM1091657	1-20:5(5Z,8Z,11Z,14Z,17Z)-2-lysophosphatidylethanolamine
bigg.metabolite:	1agpe226	MNXM1091658	1-22:6(4Z,7Z,10Z,13Z,16Z,19Z)-2-lysophosphatidylethanolamine
bigg.metabolite:	1docos4710131619eg3p	MNXM1091659	1-4,7,10,13,16,19-Docosahexaenoyl-sn-glycerol-3-phosphate
bigg.metabolite:	1eicos58111417eg3p	MNXM1091660	1-(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoyl-sn-glycerol-3-phosphate
bigg.metabolite:	1gCELLWALL	MNXM1091661	1gCELLWALL
bigg.metabolite:	1gCELLWALL2	MNXM1091662	1gCELLWALL2
bigg.metabolite:	1gDNA	MNXM1091663	1gDNA
bigg.metabolite:	1gDNA2	MNXM1091664	1gDNA2
bigg.metabolite:	1gLIPIDS	MNXM1091665	1gLIPIDS
bigg.metabolite:	1gLIPIDS2	MNXM1091666	1gLIPIDS2
