BiGG,MNXM,MolWt,NumHeteroatoms,NumHAcceptors,NumValenceElectrons,MolMR,MolLogP,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,charge,NumHDonors
sucarg,MNXM1756,273.269,9,5,108,64.8794,-1.6735299999999969,0.3278683764283827,-0.861962153979107,0.861962153979107,0.3278683764283827,-1.0,5
sucglu,MNXM1757,244.17899999999997,8,7,96,47.34080000000001,-3.741399999999998,0.3278803987823983,-0.8619643587053729,0.8619643587053729,0.3278803987823983,-3.0,1
sucgsa,MNXM1763,229.188,7,6,90,48.39780000000001,-2.292399999999998,0.3278813715916572,-0.8619643586841792,0.8619643586841792,0.3278813715916572,-2.0,1
pg120,MNXM1771,610.7660000000005,11,9,244,159.3488999999998,6.770000000000009,0.4719078358362873,-0.4616281734359621,0.4719078358362873,0.4616281734359621,0.0,3
udpLa4n,MNXM1786,534.2840000000002,20,16,194,101.3682,-4.407899999999994,0.4830580336329012,-0.8584386267006714,0.8584386267006714,0.4830580336329012,-1.0,7
2mcacn,MNXM1792,185.111,6,6,72,32.337999999999994,-4.057299999999999,0.0681482687285613,-0.5498048806954636,0.5498048806954636,0.0681482687285613,-3.0,0
4hthr,MNXM1802,135.119,5,4,54,28.703799999999998,-2.248499999999999,0.3227720549740591,-0.4800118954471919,0.4800118954471919,0.3227720549740591,0.0,4
xu5p__D,MNXM186,228.093,9,8,84,37.6649,-3.885099999999998,0.1887565766676279,-0.7898733861841889,0.7898733861841889,0.1887565766676279,-2.0,3
36dahx,MNXM1865,147.198,4,2,60,37.21729999999998,-1.189499999999999,0.3044170450363143,-0.4811873766456697,0.4811873766456697,0.3044170450363143,1.0,3
anth,MNXM188,136.13,3,3,52,35.18489999999999,-0.3677000000000001,0.0735499160518895,-0.5447334206192711,0.5447334206192711,0.0735499160518895,-1.0,1
2oph,MNXM1886,639.0650000000002,1,1,260,212.17879999999923,14.986399999999964,0.1185788746644335,-0.5076639821122377,0.5076639821122377,0.1185788746644335,0.0,1
q8h2,MNXM191,729.1430000000001,4,4,296,231.6845999999992,15.017619999999964,0.2068229315163051,-0.5039628062166136,0.5039628062166136,0.2068229315163051,0.0,2
4abut,MNXM192,103.121,3,2,42,25.924199999999995,-0.1901000000000001,0.3028891240181524,-0.4812297935234415,0.4812297935234415,0.3028891240181524,0.0,2
dimp,MNXM1922,330.19300000000004,12,10,120,65.08010000000002,-1.9743999999999997,0.2648370666495694,-0.8569847253368239,0.8569847253368239,0.2648370666495694,-2.0,2
acanth,MNXM1939,178.16699999999997,4,3,68,46.170300000000005,0.7949999999999999,0.3373920361348643,-0.8618726452367275,0.8618726452367275,0.3373920361348643,-1.0,1
sulfac,MNXM1949,138.1,6,5,48,19.5712,-2.7185,0.1000158304637301,-0.7476564957426064,0.7476564957426064,0.1000158304637301,-2.0,0
23dhba,MNXM1978,482.3220000000001,16,14,176,104.40460000000002,-1.2191,0.5294560485820866,-0.8699532496053796,0.8699532496053796,0.5294560485820866,-1.0,5
dhgly,MNXM1984,73.051,3,2,28,16.4195,-0.2794300000000001,0.3457141206280836,-0.4769761457684511,0.4769761457684511,0.3457141206280836,0.0,2
val__L,MNXM199,117.148,3,2,48,30.44919999999999,0.0543,0.3202358658393586,-0.4800788702219206,0.4800788702219206,0.3202358658393586,0.0,2
